dataset,model,accuracy,auc_ovo,gmean,cross_entropy,n_samples_train,n_samples_test,n_features,n_classes
MiceProtein,xgboost,0.9722222222222222,0.9996710396247037,0.9716674434537087,0.18008302857573794,756,324,77,8
analcatdata_authorship,xgboost,0.9802371541501976,0.9958412940302356,0.9592383226471312,0.0664406002778102,588,253,70,4
analcatdata_dmft,xgboost,0.23618090452261306,0.5512198010334417,0.23184930530478004,1.69897076082451,462,199,7,5
balance-scale,xgboost,0.9095744680851063,0.9604755115982061,0.6286292751536459,0.2177331686480844,437,188,4,3
banknote-authentication,xgboost,0.9951456310679612,0.9999761376381034,0.9950842020957349,0.030669134091571473,960,412,4,2
blood-transfusion-service-center,xgboost,0.8044444444444444,0.7469677279618799,0.6273321228631623,0.4861864076482718,523,225,4,2
breast-w,xgboost,0.9380952380952381,0.9792169887278582,0.936274695780107,0.16060105167570832,489,210,9,2
car,xgboost,0.9672447013487476,0.9962308954403817,0.904438743927827,0.10134955019248422,1209,519,21,4
climate-model-simulation-crashes,xgboost,0.9259259259259259,0.8841698841698841,0.5308985607941331,0.22960530657964792,378,162,18,2
cmc,xgboost,0.5180995475113123,0.7111469032057268,0.49556075354683415,0.9539655222273745,1031,442,9,3
cnae-9,xgboost,0.9320987654320988,0.9956597222222222,0.9310825820248105,0.2598195739390966,756,324,856,9
credit-approval,xgboost,0.8743961352657005,0.9172022684310018,0.8749831216303525,0.3848954669893229,483,207,46,2
credit-g,xgboost,0.76,0.7615343915343915,0.6655546280831972,0.6157245458916184,700,300,61,2
cylinder-bands,xgboost,0.7469135802469136,0.8327596996245307,0.7163389049768827,0.49654149963414407,378,162,119,2
diabetes,xgboost,0.7532467532467533,0.8275720164609053,0.714344500814293,0.48466878135965036,537,231,8,2
dresses-sales,xgboost,0.5333333333333333,0.5557380040138661,0.4951875684721383,0.7908876930160178,350,150,141,2
eucalyptus,xgboost,0.6561085972850679,0.8960445509110875,0.591619848370616,0.8158119884720192,515,221,91,5
ilpd,xgboost,0.7085714285714285,0.76544,0.5768882040742382,0.6224555888805301,408,175,11,2
kc2,xgboost,0.821656050955414,0.787625,0.6723094525588644,0.42562033621778533,365,157,21,2
mfeat-factors,xgboost,0.9583333333333334,0.9980740740740742,0.9574317299168587,0.1435446379606985,1400,600,216,10
pc1,xgboost,0.9309309309309309,0.8615708274894811,0.41432958403615544,0.19071230983157544,776,333,21,2
pc3,xgboost,0.8784648187633263,0.7982977038796516,0.3999208155985511,0.34429221521702624,1094,469,37,2
pc4,xgboost,0.908675799086758,0.9276647880421466,0.6884776468614543,0.23123636196953312,1020,438,37,2
qsar-biodeg,xgboost,0.8391167192429022,0.8934134401424121,0.807838765655041,0.3876344374942228,738,317,41,2
semeion,xgboost,0.9142259414225942,0.9955787112689123,0.9114318382541633,0.2684006279470858,1115,478,256,10
steel-plates-fault,xgboost,0.7873070325900514,0.9667799024061733,0.7868071405647926,0.5682514392631198,1358,583,27,7
tic-tac-toe,xgboost,0.9965277777777778,0.9998936170212765,0.99498743710662,0.06674668752006457,670,288,27,2
vehicle,xgboost,0.7283464566929134,0.92448034804405,0.6894104857028205,0.5306069014245594,592,254,18,4
vowel,xgboost,0.9023569023569024,0.994799850355406,0.8991889416988326,0.3679911171445169,693,297,27,11
wdbc,xgboost,0.9590643274853801,0.9884637850467288,0.9609793485872706,0.12151268751802854,398,171,30,2
